"","predictor_variable","response_variable","lower_limit","mean","upper_limit"
"1","Canopy_Cover_Percentage","black_bears",50.5988147563801,62.2404257752508,73.8820367941215
"2","Canopy_Cover_Percentage","blacktailed_deer",54.608904271332,64.2281802437669,73.8474562162019
"3","Canopy_Cover_Percentage","bobcats",71.7558639458295,76.4691144172348,81.1823648886402
"4","Canopy_Cover_Percentage","cougars",59.8581413423825,68.8004444008757,77.742747459369
"5","Canopy_Cover_Percentage","coyotes",43.2804345397733,59.8683135640297,76.456192588286
"6","Canopy_Cover_Percentage","mammals",58.4840549198054,66.3253898982084,74.1667248766114
"7","Canopy_Cover_Percentage","snowshoe_hares",71.7253876819838,74.928868943953,78.1323502059221
"8","CI_shrubs","black_bears",0.94533211645826,0.980285778849676,1.01523944124109
"9","CI_shrubs","blacktailed_deer",0.956101999927305,0.98410103307875,1.0121000662302
"10","CI_shrubs","bobcats",0.940424323982055,0.979636461327878,1.0188485986737
"11","CI_shrubs","cougars",0.98829108474254,0.996012649102387,1.00373421346223
"12","CI_shrubs","coyotes",0.893612426863232,0.963947478605879,1.03428253034853
"13","CI_shrubs","mammals",0.960052662646149,0.9832126929822,1.00637272331825
"14","CI_shrubs","snowshoe_hares",0.965976659543113,0.988465756536918,1.01095485353072
"15","CI_t","black_bears",0.429287863371395,0.509117086228699,0.588946309086002
"16","CI_t","blacktailed_deer",0.438567350093869,0.500591131867039,0.562614913640209
"17","CI_t","cougars",0.351174394527735,0.477398487057531,0.603622579587327
"18","CI_t","coyotes",0.408392220927478,0.513672549657002,0.618952878386525
"19","CI_t","mammals",0.46193012797886,0.530472265554654,0.599014403130448
"20","CI_t","snowshoe_hares",0.39396630846904,0.539105260332685,0.684244212196329
"21","CI_trees","black_bears",0.425689042144322,0.530926837271837,0.636164632399353
"22","CI_trees","blacktailed_deer",0.434950626598714,0.516740964739014,0.598531302879313
"23","CI_trees","bobcats",0.491749207523018,0.700650322306561,0.909551437090103
"24","CI_trees","cougars",0.347361618011982,0.481690276528277,0.616018935044571
"25","CI_trees","coyotes",0.378746046065205,0.549786402418342,0.720826758771478
"26","CI_trees","mammals",0.464581639320597,0.548971747292699,0.633361855264801
"27","CI_trees","snowshoe_hares",0.387974102208286,0.554745414499357,0.721516726790427
"28","elevation.x","black_bears",297.562218458601,418.873343769348,540.184469080095
"29","elevation.x","blacktailed_deer",333.142992348302,423.397118855216,513.65124536213
"30","elevation.x","bobcats",187.933883327304,449.509389949215,711.084896571126
"31","elevation.x","cougars",177.376424872634,443.195410623461,709.014396374288
"32","elevation.x","coyotes",376.547385036254,527.744792378116,678.942199719979
"33","elevation.x","mammals",332.756648394264,418.756876763298,504.757105132331
"34","elevation.x","snowshoe_hares",198.615504961623,313.888231013343,429.160957065062
"35","lpi_l","black_bears",80.655138063065,88.2605803105898,95.8660225581147
"36","lpi_l","blacktailed_deer",81.2982289020549,88.0465463489792,94.7948637959036
"37","lpi_l","bobcats",45.0300281039968,70.9438395409059,96.857650977815
"38","lpi_l","cougars",78.8765230343828,91.312212699311,103.747902364239
"39","lpi_l","coyotes",76.2461706343567,88.1466055844099,100.047040534463
"40","lpi_l","mammals",76.9984896159455,85.0057207149014,93.0129518138573
"41","lpi_l","snowshoe_hares",65.6531802229788,83.428742128036,101.204304033093
"42","lpi_shrubs","black_bears",-2.13907371203221,7.43863375999969,17.0163412320316
"43","lpi_shrubs","blacktailed_deer",-1.26316998003221,6.41166951150301,14.0865090030382
"44","lpi_shrubs","bobcats",-6.82219491445864,9.78715391470707,26.3965027438728
"45","lpi_shrubs","cougars",-3.57424853288285,5.04215887351136,13.6585662799056
"46","lpi_shrubs","coyotes",-8.38965769687745,10.5951870334135,29.5800317637045
"47","lpi_shrubs","mammals",0.159433388033432,6.98416475256764,13.8088961171018
"48","lpi_shrubs","snowshoe_hares",-4.15648028799507,5.52633195030503,15.2091441886051
"49","lpi_trees","black_bears",72.4186341445761,85.099481665198,97.7803291858199
"50","lpi_trees","blacktailed_deer",75.0105326555273,85.5176674326658,96.0248022098042
"51","lpi_trees","bobcats",39.196252573261,68.8555786172161,98.5149046611713
"52","lpi_trees","cougars",78.8765230343828,91.312212699311,103.747902364239
"53","lpi_trees","coyotes",57.7788727312137,81.8244082936263,105.869943856039
"54","lpi_trees","mammals",72.0197244448595,82.5696034812456,93.1194825176316
"55","lpi_trees","snowshoe_hares",62.355745984595,82.2354501716418,102.115154358689
"56","pd_l","black_bears",1125.13070764497,2224.99650960217,3324.86231155938
"57","pd_l","blacktailed_deer",1240.72352357533,2152.33089691784,3063.93827026036
"58","pd_l","bobcats",1417.78746541032,3677.6726578353,5937.55785026027
"59","pd_l","cougars",359.525668874007,1814.6895483263,3269.85342777859
"60","pd_l","coyotes",1210.30383818751,3095.94993094148,4981.59602369546
"61","pd_l","mammals",1464.46756999812,2368.71888148439,3272.97019297067
"62","pd_l","snowshoe_hares",1414.50708728589,2894.2623152776,4374.01754326931
"63","pd_shrubs","black_bears",609.46845814982,1131.05894712256,1652.6494360953
"64","pd_shrubs","blacktailed_deer",723.837577683747,1183.97608469924,1644.11459171474
"65","pd_shrubs","bobcats",1412.72131422328,1598.99829427439,1785.2752743255
"66","pd_shrubs","cougars",-252.665806234977,1118.18329473346,2489.0323957019
"67","pd_shrubs","coyotes",803.330802695673,1575.30054239813,2347.27028210058
"68","pd_shrubs","mammals",829.100417399739,1210.80259623339,1592.50477506704
"69","pd_trees","black_bears",43.0869432570325,101.08385200144,159.080760745847
"70","pd_trees","blacktailed_deer",49.7808720092338,96.208171579895,142.635471150556
"71","pd_trees","cougars",21.3587798338517,41.6023820902323,61.8459843466128
"72","pd_trees","coyotes",61.6805410130761,157.709176683711,253.737812354345
"73","pd_trees","mammals",62.0776349598864,100.372370964464,138.667106969042
"74","pd_trees","snowshoe_hares",37.8005784769073,73.4739935633092,109.147408649711
"75","slope.x","black_bears",13.2989317095136,18.6715698279374,24.0442079463611
"76","slope.x","blacktailed_deer",12.605912674967,17.1053747255955,21.604836776224
"77","slope.x","bobcats",7.11395973274132,16.520368067124,25.9267764015068
"78","slope.x","cougars",3.85675238450909,18.8236725321738,33.7905926798385
"79","slope.x","coyotes",11.9639689872754,19.977272463182,27.9905759390887
"80","slope.x","mammals",13.186870136726,17.0920363475352,20.9972025583443
"81","slope.x","snowshoe_hares",10.9651517520547,14.6835724188249,18.4019930855952
"82","understory_density","blacktailed_deer",0.345951553140422,0.430175433372508,0.514399313604595
"83","understory_density","bobcats",0.205299610172627,0.440096687359868,0.674893764547109
"84","understory_density","cougars",0.104389877415235,0.42044932868624,0.736508779957246
"85","understory_density","coyotes",0.316229790770007,0.439641367191359,0.563052943612712
"86","understory_density","mammals",0.331913191086623,0.415547790750018,0.499182390413412
"87","understory_density","snowshoe_hares",0.260944848676855,0.424335597192837,0.587726345708819
"88","zkurt","black_bears",2.73106720826541,3.52466497395031,4.3182627396352
"89","zkurt","blacktailed_deer",2.70285957287503,3.38756885917202,4.07227814546901
"90","zkurt","bobcats",1.34146484750116,3.79022832086453,6.2389917942279
"91","zkurt","cougars",1.89155841234672,3.94942418347638,6.00728995460604
"92","zkurt","mammals",2.8338259250797,3.53443083233671,4.23503573959372
"93","zkurt","snowshoe_hares",2.07188212122701,3.66831649546428,5.26475086970155
"94","zmax","black_bears",45.8641319192468,50.3533333333333,54.8425347474199
"95","zmax","blacktailed_deer",47.5747528657606,51.424,55.2732471342394
"96","zmax","bobcats",39.6538429815097,52.19,64.7261570184903
"97","zmax","cougars",39.4378074945878,52.01,64.5821925054122
"98","zmax","coyotes",38.8282533582996,45.615,52.4017466417004
"99","zmax","snowshoe_hares",45.930470669205,50.9928571428571,56.0552436165092
"100","zmean","black_bears",21.1943762573546,24.6798460512197,28.1653158450848
"101","zmean","blacktailed_deer",21.613018338939,24.3317268017312,27.0504352645233
"102","zmean","bobcats",11.6906332252979,20.7611519151484,29.8316706049988
"103","zmean","cougars",18.5749855526617,26.770956604525,34.9669276563883
"104","zmean","mammals",20.9126836324216,23.8900916942518,26.867499756082
"105","zmean","snowshoe_hares",16.7329949161095,22.16419266087,27.5953904056304
"106","zq20","black_bears",14.1970269142789,18.115,22.0329730857211
"107","zq20","blacktailed_deer",14.3172268322216,17.5706666666667,20.8241065011118
"108","zq20","bobcats",6.4533765348776,13.21,19.9666234651224
"109","zq20","cougars",11.623547811453,20.7933333333333,29.9631188552136
"110","zq20","mammals",13.9808656433976,17.1447368421053,20.3086080408129
"111","zq20","snowshoe_hares",9.23237487235428,14.6957142857143,20.1590536990743
"112","zq50","black_bears",21.4939700372969,25.4158333333333,29.3376966293698
"113","zq50","blacktailed_deer",21.7513772756902,24.6486666666667,27.5459560576431
"114","zq50","bobcats",11.0954256288035,20.925,30.7545743711965
"115","zq50","cougars",18.879560900706,26.9166666666667,34.9537724326274
"116","zq50","mammals",21.1060048329074,24.2921052631579,27.4782056934084
"117","zq50","snowshoe_hares",17.0229803535684,23.1514285714286,29.2798767892888
"118","zq70","black_bears",25.6053955611764,29.2466666666667,32.8879377721569
"119","zq70","blacktailed_deer",26.1986528755757,28.928,31.6573471244243
"120","zq70","bobcats",14.5977475277547,25.8425,37.0872524722453
"121","zq70","cougars",22.4995563175536,30.66,38.8204436824464
"122","zq70","mammals",25.2962983096672,28.4621052631579,31.6279122166486
"123","zq70","snowshoe_hares",21.2375776829359,27.2771428571429,33.3167080313498
"124","zq95","black_bears",33.4049460085486,37.03725,40.6695539914514
"125","zq95","blacktailed_deer",34.3474212578767,37.4124666666667,40.4775120754566
"126","zq95","bobcats",20.4761563326825,34.0325,47.5888436673175
"127","zq95","cougars",29.3423024493609,39.6066666666667,49.8710308839724
"128","zq95","coyotes",27.3487770624922,32.755,38.1612229375078
"129","zq95","mammals",33.1559669169684,36.7361578947368,40.3163488725053
"130","zq95","snowshoe_hares",28.8280591262217,34.9057142857143,40.9833694452069
"131","zsd","black_bears",7.14005074961823,8.28534622317887,9.43064169673951
"132","zsd","blacktailed_deer",7.39672633565857,8.40693101164702,9.41713568763547
"133","zsd","bobcats",5.52092695140387,8.76340596177935,12.0058849721548
"134","zsd","cougars",5.02877843869094,7.89633960746787,10.7639007762448
"135","zsd","coyotes",6.93855774455303,8.30238037181708,9.66620299908113
"136","zsd","mammals",7.42619478116038,8.34557008052621,9.26494537989204
"137","zsd","snowshoe_hares",7.35923304792537,8.76574294113859,10.1722528343518
