"","predictor_variable","response_variable","estimate","p_value"
"rho","zmean","coyotes",-0.546486996752734,0.0154781955250993
"rho1","zmean","bobcats",-0.171089395847289,0.483725629694142
"rho2","zmean","cougars",0.135330203283196,0.580677456611426
"rho3","zmean","black_bears",-0.00179913158885277,0.994167685681411
"rho4","zmean","blacktailed_deer",0.125389063135491,0.609015445480403
"rho5","zmean","snowshoe_hares",-0.238169695412348,0.326146692609395
"rho6","zmean","mammals",-0.239578785678922,0.323206691294604
"rho7","zsd","coyotes",-0.0765507077163363,0.755434923359768
"rho8","zsd","bobcats",-0.0209246023698124,0.932241545969957
"rho9","zsd","cougars",-0.0911407491499077,0.710580445113116
"rho10","zsd","black_bears",-0.0881574478537858,0.719683614489374
"rho11","zsd","blacktailed_deer",-0.122739998421361,0.61665992124597
"rho12","zsd","snowshoe_hares",0.202697613116892,0.405269548904035
"rho13","zsd","mammals",-0.356296655625064,0.134322609568093
"rho14","zkurt","coyotes",-0.65493383268421,0.00234022245526395
"rho15","zkurt","bobcats",-0.0640046660723673,0.794620027650373
"rho16","zkurt","cougars",0.139472964608192,0.569036558247748
"rho17","zkurt","black_bears",-0.142131395519369,0.561620352691882
"rho18","zkurt","blacktailed_deer",0.172189206418456,0.480876581349697
"rho19","zkurt","snowshoe_hares",-0.180400875674034,0.459869701911424
"rho20","zkurt","mammals",-0.155331300605015,0.525441355363717
"rho21","zq20","coyotes",-0.565624673681818,0.0116010240333715
"rho22","zq20","bobcats",-0.328639343102347,0.169512559849331
"rho23","zq20","cougars",0.227851872874769,0.348152271860851
"rho24","zq20","black_bears",0.0431791581324665,0.860673402538712
"rho25","zq20","blacktailed_deer",0.286098989126049,0.235055482712452
"rho26","zq20","snowshoe_hares",-0.306073395806507,0.202514159180817
"rho27","zq20","mammals",-0.0903905308605457,0.712866168534533
"rho28","zq50","coyotes",-0.499706008703862,0.0293683713630373
"rho29","zq50","bobcats",-0.230170626067936,0.343133876817774
"rho30","zq50","cougars",0.109092714891556,0.656628899366537
"rho31","zq50","black_bears",0.0431791581324665,0.860673402538712
"rho32","zq50","blacktailed_deer",0.131570214135128,0.59132954785668
"rho33","zq50","snowshoe_hares",-0.180400875674034,0.459869701911424
"rho34","zq50","mammals",-0.233435739892283,0.336138957303196
"rho35","zq70","coyotes",-0.469936289036398,0.0423323338686542
"rho36","zq70","bobcats",-0.125547614218874,0.608559128258779
"rho37","zq70","cougars",0.0773315447332551,0.753013883300473
"rho38","zq70","black_bears",0.0359826317770554,0.883729390479164
"rho39","zq70","blacktailed_deer",0.0706417257101357,0.77382548584882
"rho40","zq70","snowshoe_hares",-0.12263205593572,0.616972222801565
"rho41","zq70","mammals",-0.290478307911074,0.227649765483793
"rho42","zq95","coyotes",-0.427408118082878,0.0679596876182926
"rho43","zq95","bobcats",-0.114469883552503,0.640766345657877
"rho44","zq95","cougars",0.103569033124895,0.673071345415888
"rho45","zq95","black_bears",0.0215895790662333,0.930093143387493
"rho46","zq95","blacktailed_deer",0.0441510785688348,0.8575674436023
"rho47","zq95","snowshoe_hares",-0.16823901888702,0.491148033980379
"rho48","zq95","mammals",-0.333479628417547,0.162942883288083
"rho49","zmax","coyotes",-0.450798612107314,0.0527360272172987
"rho50","zmax","bobcats",-0.017232025481022,0.944179271451904
"rho51","zmax","cougars",-0.0538558972249455,0.826670677164813
"rho52","zmax","black_bears",-0.161921842996749,0.507793712634654
"rho53","zmax","blacktailed_deer",-0.0344378412836911,0.888690853880324
"rho54","zmax","snowshoe_hares",-0.138847864985071,0.570786542026177
"rho55","zmax","mammals",-0.478279993388324,0.03832457711629
"rho56","understory_density","coyotes",0.0212640854767601,0.931144689107614
"rho57","understory_density","bobcats",0.141548780736966,0.563242029318483
"rho58","understory_density","cougars",0.0193328861833138,0.937385848208024
"rho59","understory_density","black_bears",0.478569002634837,0.0381912047546211
"rho60","understory_density","blacktailed_deer",-0.0468001432829649,0.849112139471895
"rho61","understory_density","snowshoe_hares",0.0648632361974055,0.791922251721574
"rho62","understory_density","mammals",0.129881539488939,0.596139962368078
"rho63","elevation.x","coyotes",0.416776075344498,0.0758730994107466
"rho64","elevation.x","bobcats",0.0861601274051098,0.725798522395688
"rho65","elevation.x","cougars",0.103569033124895,0.673071345415888
"rho66","elevation.x","black_bears",0.039580894954761,0.872189063471432
"rho67","elevation.x","blacktailed_deer",0.128038127849621,0.601409568394269
"rho68","elevation.x","snowshoe_hares",-0.337491525839625,0.157631451328702
"rho69","elevation.x","mammals",0.401053132070577,0.0887988807040597
"rho70","slope.x","coyotes",0.208388037672249,0.391924481601615
"rho71","slope.x","bobcats",0.0160011665180918,0.948161167454501
"rho72","slope.x","cougars",0.035903931483297,0.88398205664297
"rho73","slope.x","black_bears",0.174515764118719,0.474877138861587
"rho74","slope.x","blacktailed_deer",0.20574402613077,0.398094755041649
"rho75","slope.x","snowshoe_hares",-0.0162158090493514,0.947466699877589
"rho76","slope.x","mammals",0.395787664253457,0.0934677622717311
"rho77","Canopy_Cover_Percentage","coyotes",-0.255169025721121,0.291733337213478
"rho78","Canopy_Cover_Percentage","bobcats",0.391413150211784,0.0974805719720147
"rho79","Canopy_Cover_Percentage","cougars",-0.139472964608192,0.569036558247748
"rho80","Canopy_Cover_Percentage","black_bears",-0.295057580571854,0.220069259230365
"rho81","Canopy_Cover_Percentage","blacktailed_deer",-0.193381724131496,0.427640010283639
"rho82","Canopy_Cover_Percentage","snowshoe_hares",0.313167812265598,0.191713411808872
"rho83","Canopy_Cover_Percentage","mammals",0.0333479628417547,0.892193654766011
"rho84","pd_l","coyotes",0.276433111197881,0.251943634161136
"rho85","pd_l","bobcats",0.316330753473046,0.187024552191147
"rho86","pd_l","cougars",-0.056617738108276,0.817920338016238
"rho87","pd_l","black_bears",-0.172716632529866,0.479513241870251
"rho88","pd_l","blacktailed_deer",-0.0626945315677454,0.798740992506058
"rho89","pd_l","snowshoe_hares",0.306073395806507,0.202514159180817
"rho90","pd_l","mammals",0.103554200403344,0.673115694032665
"rho91","pd_shrubs","coyotes",0.342351776175837,0.151357994667819
"rho92","pd_shrubs","bobcats",0.339717073768719,0.154736965898298
"rho93","pd_shrubs","cougars",-0.0994262717998994,0.685497544011378
"rho94","pd_shrubs","black_bears",-0.133135737575105,0.586884490531907
"rho95","pd_shrubs","blacktailed_deer",-0.229585608557941,0.344396029461937
"rho96","pd_shrubs","snowshoe_hares",0.528027282169504,0.0201362949777375
"rho97","pd_shrubs","mammals",0.201842932989568,0.407294987861292
"rho98","pd_trees","coyotes",0.267927477007177,0.267424049697002
"rho99","pd_trees","bobcats",0.493574444134986,0.0317444801243724
"rho100","pd_trees","cougars",-0.345230110416317,0.147725298317895
"rho101","pd_trees","black_bears",-0.0107947895331166,0.965016023050745
"rho102","pd_trees","blacktailed_deer",-0.0777058982811492,0.751853954539196
"rho103","pd_trees","snowshoe_hares",-0.190535756329879,0.434601802201331
"rho104","pd_trees","mammals",0.102676622433824,0.675741413891673
"rho105","lpi_l","coyotes",0.0829299333593643,0.735721496270683
"rho106","lpi_l","bobcats",-0.35694909924974,0.133560073753913
"rho107","lpi_l","cougars",0.0952835104749035,0.698001525693546
"rho108","lpi_l","black_bears",0.241083632906271,0.320084291863514
"rho109","lpi_l","blacktailed_deer",-0.00706417257101357,0.977102470474669
"rho110","lpi_l","snowshoe_hares",0.0141888329181824,0.954026281899237
"rho111","lpi_l","mammals",0.057042568018791,0.816576150602641
"rho112","lpi_shrubs","coyotes",0.0978147931930964,0.690352337088562
"rho113","lpi_shrubs","bobcats",0.128009332144735,0.601492035544321
"rho114","lpi_shrubs","cougars",0.135330203283196,0.580677456611426
"rho115","lpi_shrubs","black_bears",-0.235686238139713,0.331366595101413
"rho116","lpi_shrubs","blacktailed_deer",0.234000716414824,0.334937120616643
"rho117","lpi_shrubs","snowshoe_hares",-0.0243237135740271,0.92126473650979
"rho118","lpi_shrubs","mammals",0.0903905308605457,0.712866168534533
"rho119","lpi_trees","coyotes",0.0680450735256322,0.781944316375937
"rho120","lpi_trees","bobcats",-0.336024496879928,0.159559671817456
"rho121","lpi_trees","cougars",0.0952835104749035,0.698001525693546
"rho122","lpi_trees","black_bears",0.226690580195449,0.35068145544551
"rho123","lpi_trees","blacktailed_deer",-0.0238415824271708,0.922820906331003
"rho124","lpi_trees","snowshoe_hares",0.0293911539019494,0.904926209622705
"rho125","lpi_trees","mammals",0.0482667883235924,0.844437606858943
"rho126","CI_t","coyotes",-0.0297697196674641,0.903707019338802
"rho127","CI_t","bobcats",0.466495546950523,0.0440756814981248
"rho128","CI_t","cougars",-0.124282839749874,0.612203046841449
"rho129","CI_t","black_bears",-0.23388710655086,0.335178592993044
"rho130","CI_t","blacktailed_deer",-0.081237984566656,0.74093521258144
"rho131","CI_t","snowshoe_hares",0.0496609152136386,0.83999881379135
"rho132","CI_t","mammals",-0.019306715329437,0.937470450748372
"rho133","CI_shrubs","coyotes",-0.0978147931930964,0.690352337088562
"rho134","CI_shrubs","bobcats",-0.17355111377315,0.477360119123583
"rho135","CI_shrubs","cougars",-0.111854555774887,0.6484634239254
"rho136","CI_shrubs","black_bears",0.215895790662333,0.374694045627721
"rho137","CI_shrubs","blacktailed_deer",-0.21369122027316,0.379708833266322
"rho138","CI_shrubs","snowshoe_hares",-0.0050674403279223,0.983573604697567
"rho139","CI_shrubs","mammals",-0.0763492833482279,0.756059809035071
"rho140","CI_trees","coyotes",0,1
"rho141","CI_trees","bobcats",0.420953765322108,0.0726862324209494
"rho142","CI_trees","cougars",-0.124282839749874,0.612203046841449
"rho143","CI_trees","black_bears",-0.215895790662333,0.37469404562772
"rho144","CI_trees","blacktailed_deer",-0.0476831648543416,0.84629716061738
"rho145","CI_trees","snowshoe_hares",0.0111483687214291,0.963870836983937
"rho146","CI_trees","mammals",-0.0122860915732781,0.960186406109158
